"TotLoop";"LoopNormInter";"TotCollateralETH";"OldcollateralETH";"OldCollateralUSD";"TotCollateralUSD";"NewCreditUSD";"NewCollateralETH";"TotCreditUSD";"NetRevenueUSD";"NewKeet10pctUSD";"TotKeet10pctUSD";"OraclePrice";"Leverage";"CollLoanRatio";"LoanCollRatio";"LiquidPreisMaxMint";"EndLiquidPriceUSD";"StartSoftLiquidUSD";"leverageEfficiency";"MaxCollUSDwSaftyPrice";"MaxCollUSD"
"1";"    1";"           11.96";"            8.91";"          16’595";"          22’285";"       6’322";"            3.05";"      14’411";"      9’315";"            632";"          1’441";"      1’863";"     2.4";"        155%";"          65%";"             1’719";"            1’280";"             1’387";"             34.3%";"               14’514";"    19’352"
"2";"    2";"           14.35";"           11.96";"          22’285";"          26’732";"       4’941";"            2.39";"      19’352";"      9’315";"            494";"          1’935";"      1’863";"     2.9";"        138%";"          72%";"             1’719";"            1’433";"             1’553";"             20.0%";"               17’411";"    23’214"
"3";"200";"           18.19";"           14.35";"          33’907";"          42’990";"      10’092";"            3.84";"      29’445";"     16’490";"          1’009";"          2’944";"      2’363";"     3.6";"        146%";"          68%";"             2’180";"            1’720";"             1’864";"           26.788%";"               27’999";"    37’332"
"0";"100";"            8.89";"            5.00";"           9’315";"          16’559";"       8’049";"            3.89";"       8’049";"      9’315";"            805";"            805";"      1’863";"     1.8";"        206%";"          49%";"             1’702";"              957";"             1’048";"           77.769%";"               10’732";"    14’309"
"1";"    1";"           11.91";"            8.89";"          16’559";"          22’193";"       6’260";"            3.02";"      14’309";"      9’315";"            626";"          1’431";"      1’863";"     2.4";"        155%";"          64%";"             1’702";"            1’270";"             1’390";"             34.0%";"               14’383";"    19’177"
"2";"    2";"           14.26";"           11.91";"          22’193";"          26’574";"       4’868";"            2.35";"      19’177";"      9’315";"            487";"          1’918";"      1’863";"     2.9";"        139%";"          72%";"             1’702";"            1’421";"             1’556";"             19.7%";"               17’222";"    22’963"
"3";"200";"           18.05";"           14.26";"          33’706";"          42’660";"       9’949";"            3.79";"      29’126";"     16’447";"            995";"          2’913";"      2’363";"     3.6";"        146%";"          68%";"             2’159";"            1’706";"             1’867";"           26.564%";"               27’647";"    36’863"
"0";"100";"            8.87";"            5.00";"           9’315";"          16’524";"       8’010";"            3.87";"       8’010";"      9’315";"            801";"            801";"      1’863";"     1.8";"        206%";"          48%";"             1’685";"              950";"             1’050";"           77.391%";"               10’657";"    14’209"
"1";"    1";"           11.86";"            8.87";"          16’524";"          22’103";"       6’199";"            2.99";"      14’209";"      9’315";"            620";"          1’421";"      1’863";"     2.4";"        156%";"          64%";"             1’685";"            1’260";"             1’393";"             33.8%";"               14’255";"    19’006"
"2";"    2";"           14.18";"           11.86";"          22’103";"          26’421";"       4’797";"            2.32";"      19’006";"      9’315";"            480";"          1’901";"      1’863";"     2.8";"        139%";"          72%";"             1’685";"            1’410";"             1’559";"             19.5%";"               17’039";"    22’719"
"3";"200";"           17.92";"           14.18";"          33’512";"          42’341";"       9’810";"            3.74";"      28’817";"     16’406";"            981";"          2’882";"      2’363";"     3.6";"        147%";"          68%";"             2’137";"            1’691";"             1’870";"           26.347%";"               27’307";"    36’409"
